id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
S81599|ARO:3002651	AAB21326.1	S81599	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002651	NA
AJ276453|ARO:3002183	CAB82578.1	AJ276453	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002183	NA
JN790864|ARO:3001982	AFA51701.1	JN790864	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001982	NA
JN086160|ARO:3001777	AET35493.1	JN086160	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001777	NA
FJ872411|ARO:3002924	AAL27443.1	FJ872411	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002924	NA
EF136376|ARO:3001025	ABM54869.1	EF136376	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001025	NA
AF064820|ARO:3001417	AAD12233.1	AF064820	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001417	NA
AY750914.2|ARO:3001902	AAV28215.2	AY750914.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001902	NA
JN714478|ARO:3002079	AEZ49849.1	JN714478	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002079	NA
AM408573|ARO:3003441	CAL64019.1	AM408573	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration	NA	ARO:3003441	NA
FR734406|ARO:3003106	CBY77552.1	FR734406	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3003106	NA
KC900516|ARO:3001382	AGZ20205.1	KC900516	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001382	NA
KF732714|ARO:3002798	AHF20043.1	KF732714	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002798	NA
KM087843|ARO:3001851	AIT76096.1	KM087843	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001851	NA
GU827715|ARO:3001176	ADE08533.1	GU827715	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001176	NA
HM755448|ARO:3001957	ADO17948.1	HM755448	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001957	NA
U09991|ARO:3002700	AAB36568.1	U09991	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002700	NA
KM087840|ARO:3002127	AIT76093.1	KM087840	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002127	NA
X03615|ARO:3002661	CAA27276.1	X03615	APH(7'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002661	NA
AM998375|ARO:3000853	CAQ53840.1	AM998375	AIM beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3000853	NA
AY847145|ARO:3001911	AAV97954.1	AY847145	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001911	NA
KF663615|ARO:3001390	AHA58207.1	KF663615	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001390	NA
GU060319|ARO:3003023	ADO00942.1	GU060319	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3003023	NA
AJ866285|ARO:3001117	CAI30651.2	AJ866285	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001117	NA
NC_004771|ARO:3002675	NP_848167.1	NC_004771	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002675	NA
EU136031|ARO:3001942	ABV57756.3	EU136031	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001942	NA
AY139601|ARO:3002864	AAN41433.1	AY139601	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002864	NA
FJ666066|ARO:3002500	ACQ82808.1	FJ666066	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation	NA	ARO:3002500	NA
JN173054|ARO:3002747	AEL00450.1	JN173054	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002747	NA
FR682582|ARO:3001959	CBW46935.1	FR682582	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001959	NA
EU408349|ARO:3002487	ACH58988.1	EU408349	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002487	NA
EU496816|ARO:3002044	ACA97847.1	EU496816	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002044	NA
X06599|ARO:3002877	CAA29819.1	X06599	Bc beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002877	NA
AF231133|ARO:3001423	AAF72942.1	AF231133	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001423	NA
M97297|ARO:3002919	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002919	NA
AM176547|ARO:3001126	CAJ47127.2	AM176547	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001126	NA
L29045|ARO:3002557	AAC41392.1	L29045	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002557	NA
FJ854362|ARO:3002340	ACS44714.1	FJ854362	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002340	NA
CP000732.1|ARO:3000621	ABX30738.1	CP000732.1	blaZ beta-lactamase	penam	antibiotic inactivation	NA	ARO:3000621	NA
M19269|ARO:3001304	AAA26742.1	M19269	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3001304	NA
JF949915|ARO:3001052	AEQ59620.1	JF949915	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001052	NA
AF189721|ARO:3001871	AAF04388.1	AF189721	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001871	NA
AF162771|ARO:3002596	AAD46626.1	AF162771	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002596	NA
AB074436|ARO:3002202	BAB72072.1	AB074436	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002202	NA
JQ820241|ARO:3001678	AFH36331.1	JQ820241	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001678	NA
AF162694|ARO:3002970	AAF61331.1	AF162694	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002970	NA
AJ437107|ARO:3000900	CAD24670.1	AJ437107	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000900	NA
FN397623|ARO:3002852	CAZ48628.1	FN397623	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002852	NA
FJ237367|ARO:3002173	ACJ05687.1	FJ237367	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002173	NA
AB104852|ARO:3002573	BAD14386.1	AB104852	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002573	NA
EU408355|ARO:3002492	ACH58997.1	EU408355	class C LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002492	NA
FJ611948|ARO:3002736	ACM50952.1	FJ611948	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002736	NA
U38243|ARO:3003001	AAB17891.1	U38243	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003001	NA
AY458224|ARO:3002529	AAR21614.1	AY458224	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002529	NA
EU675686|ARO:3002848	ACD56151.1	EU675686	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002848	NA
EU250284|ARO:3002938	ABX54688.1	EU250284	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002938	NA
EU515251|ARO:3002051	ACA30422.1	EU515251	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002051	NA
U41471|ARO:3002524	AAC44793.1	U41471	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002524	NA
DQ058662|ARO:3002710	AAZ04783.1	DQ058662	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002710	NA
CP000768|ARO:3000784	ABS43151.1	CP000768	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux	NA	ARO:3000784	NA
EF373973|ARO:3001149	ABN49114.1	EF373973	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001149	NA
KF513177|ARO:3001356	AHA80958.1	KF513177	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001356	NA
HG934763|ARO:3001394	CDN33426.1	HG934763	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001394	NA
FJ349556|ARO:3002928	ACL82959.1	FJ349556	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002928	NA
AB636283|ARO:3000854	BAL14456.1	AB636283	SMB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000854	NA
AY847144|ARO:3001910	AAV97953.1	AY847144	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001910	NA
FJ624872|ARO:3002319	ACM91559.1	FJ624872	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002319	NA
JQ733577|ARO:3002093	AFK73449.1	JQ733577	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002093	NA
HQ634775|ARO:3001805	ADT70779.1	HQ634775	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001805	NA
AJ295340|ARO:3002515	CAC17622.1	AJ295340	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002515	NA
X57972|ARO:3000878	CAA41038.1	X57972	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000878	NA
GU169702|ARO:3002342	ACZ54536.1	GU169702	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002342	NA
DQ885477|ARO:3001917	ABI34705.1	DQ885477	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001917	NA
V00622|ARO:3002683	CAA23899.1	V00622	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002683	NA
Y10282|ARO:3002156	CAA71325.1	Y10282	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002156	NA
EU043311|ARO:3002721	ABW03156.3	EU043311	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002721	NA
EU024485|ARO:3001151	ABS72342.1	EU024485	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001151	NA
JQ838185|ARO:3001485	AFK28473.1	JQ838185	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001485	NA
AY065991|ARO:3001101	AAL40899.1	AY065991	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001101	NA
HM066995|ARO:3002321	ADH95186.1	HM066995	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002321	NA
AY223863|ARO:3001113	AAO66446.1	AY223863	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001113	NA
EF415650|ARO:3002035	ABN69070.1	EF415650	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002035	NA
AY265890|ARO:3002476	AAP93848.1	AY265890	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002476	NA
AJ295342|ARO:3002517	CAC17624.1	AJ295342	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002517	NA
AF540889|ARO:3002871	AAN28721.1	AF540889	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	NA	ARO:3002871	NA
KM087836|ARO:3002124	AIT76089.1	KM087836	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002124	NA
M37699|ARO:3000205	AAA27471.1	M37699	tetracycline inactivation enzyme	glycylcycline;tetracycline antibiotic	antibiotic inactivation	NA	ARO:3000205	NA
EU541448|ARO:3002216	ACB41775.1	EU541448	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002216	NA
KF297579|ARO:3001537	AGW83448.1	KF297579	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001537	NA
AY248038|ARO:3002248	AAP22374.1	AY248038	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3002248	NA
HQ172108|ARO:3002740	ADN94685.1	HQ172108	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002740	NA
AY619003|ARO:3001764	AAU88145.1	AY619003	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001764	NA
FN396876|ARO:3000589	CAZ39946.1	FN396876	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3000589	NA
AF031330|ARO:3002566	AAD03494.1	AF031330	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002566	NA
FJ785625|ARO:3002404	ACV44455.1	FJ785625	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002404	NA
KF478993|ARO:3002948	AHA41501.1	KF478993	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002948	NA
AJ746361|ARO:3003019	CAG34233.2	AJ746361	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3003019	NA
AY210887|ARO:3001104	AAO53445.1	AY210887	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001104	NA
AB777500|ARO:3002234	BAM98935.1	AB777500	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002234	NA
EU496815|ARO:3002043	ACA97846.1	EU496815	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002043	NA
AF226622|ARO:3001073	AAG17550.1	AF226622	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001073	NA
Z30177|ARO:3002389	CAA82916.1	Z30177	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002389	NA
AB715422|ARO:3002225	BAM38093.1	AB715422	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002225	NA
KF203098|ARO:3001512	AGW16406.1	KF203098	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001512	NA
U56415|ARO:3002884	AAB41059.1	U56415	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002884	NA
DQ286729|ARO:3000924	ABB97007.1	DQ286729	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000924	NA
AB894099|ARO:3000785	BAO79432.1	AB894099	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux	NA	ARO:3000785	NA
AJ567481|ARO:3001893	CAD99181.1	AJ567481	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001893	NA
EU545409|ARO:3001947	ACB41777.1	EU545409	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001947	NA
AL123456|ARO:3003035	CCP44816.1	AL123456	pyrazinamide resistant pncA	pyrazinamide	antibiotic target alteration	NA	ARO:3003035	NA
DQ058661|ARO:3002709	AAZ04782.1	DQ058661	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002709	NA
AY227050|ARO:3003100	AAP69912.1	AY227050	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003100	NA
L20800|ARO:3000195	AAA20117.1	L20800	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	NA	ARO:3000195	NA
JX121117|ARO:3001189	AFQ23956.1	JX121117	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001189	NA
AJ635402|ARO:3002434	CAG25813.2	AJ635402	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002434	NA
GQ149347|ARO:3001037	ADA79630.1	GQ149347	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001037	NA
KC688833|ARO:3002836	AGI42804.1	KC688833	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	NA	ARO:3002836	NA
NC_017349.1|ARO:3001209	WP_000725529.1	NC_017349.1	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement	NA	ARO:3001209	NA
U57969|ARO:3000800	AAB41958.1	U57969	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux	NA	ARO:3000800	NA
U57969|ARO:3000802	AAB41958.1	U57969	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux	NA	ARO:3000802	NA
L19940|ARO:3000896	AAC36883.1	L19940	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000896	NA
AF357597|ARO:3002021	AAK31368.1	AF357597	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002021	NA
FR865168|ARO:3001488	CCA94649.1	FR865168	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001488	NA
AY589494|ARO:3000976	AAS89983.1	AY589494	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000976	NA
AF090141|ARO:3000850	AAF04458.1	AF090141	GOB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000850	NA
L07945|ARO:3001398	AAC41449.1	L07945	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001398	NA
KM211691|ARO:3003166	AIT97310.1	KM211691	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3003166	NA
JQ388884|ARO:3001183	AFC60795.1	JQ388884	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001183	NA
EU177100|ARO:3001929	ABV81082.1	EU177100	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001929	NA
U00096|ARO:3000793	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000793	NA
FJ228229|ARO:3002788	ACG70184.1	FJ228229	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002788	NA
AY082011|ARO:3000005	AAM09853.1	AY082011	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3000005	NA
AF117744|ARO:3001078	AAF34334.1	AF117744	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001078	NA
FJ768952|ARO:3000237	ACN32294.1	FJ768952	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;aminocoumarin antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux	NA	ARO:3000237	NA
KF730650|ARO:3002768	AHE41343.1	KF730650	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002768	NA
AF427129|ARO:3000950	AAL29435.1	AF427129	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000950	NA
KM087850|ARO:3002148	AIT76103.1	KM087850	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002148	NA
JX121124|ARO:3001196	AFQ23963.1	JX121124	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001196	NA
AY825330|ARO:3002446	AAV80715.1	AY825330	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002446	NA
JX121128|ARO:3001200	AFQ23967.1	JX121128	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001200	NA
AY769934|ARO:3003096	AAV37206.1	AY769934	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003096	NA
JF411006|ARO:3002872	AEG78825.1	JF411006	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3002872	NA
M20305|ARO:3002642	AAA26412.1	M20305	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002642	NA
AJ239002|ARO:3000935	CAB92324.1	AJ239002	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000935	NA
GQ205627|ARO:3002845	ACX92986.2	GQ205627	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3002845	NA
HQ398215|ARO:3001961	ADY02546.1	HQ398215	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001961	NA
FJ437066|ARO:3002055	ACJ65711.1	FJ437066	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002055	NA
AY960293|ARO:3002031	AAX58682.2	AY960293	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002031	NA
AF252622|ARO:3001877	AAF72530.1	AF252622	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001877	NA
EU273757|ARO:3002728	ABX72044.1	EU273757	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002728	NA
KM087844|ARO:3002128	AIT76097.1	KM087844	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002128	NA
EU815939|ARO:3001029	ACF32746.1	EU815939	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001029	NA
HG798963|ARO:3002143	CDL68900.1	HG798963	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002143	NA
JF274245|ARO:3001968	AEM44651.1	JF274245	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001968	NA
AJ635404|ARO:3002419	CAG25815.2	AJ635404	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002419	NA
EU670845|ARO:3001655	ACD45467.1	EU670845	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001655	NA
AF201827|ARO:3001421	AAG35608.1	AF201827	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001421	NA
JX987101|ARO:3002775	AFY16910.1	JX987101	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002775	NA
GU199038|ARO:3001663	ADB28891.1	GU199038	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001663	NA
HQ185697|ARO:3002072	ADY19254.1	HQ185697	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002072	NA
DQ388882|ARO:3001005	ABD60314.1	DQ388882	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001005	NA
NC_009782|ARO:3000746	YP_001440920.1	NC_009782	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000746	NA
HM367709|ARO:3002269	ADK38716.1	HM367709	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002269	NA
X98047|ARO:3000911	CAA66659.1	X98047	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000911	NA
JN861783|ARO:3001714	AEV91554.1	JN861783	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001714	NA
AJ584652|ARO:3002207	CAE48334.1	AJ584652	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002207	NA
HQ713678|ARO:3002369	AEI54993.1	HQ713678	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3002369	NA
JF460795|ARO:3002074	AEM97673.1	JF460795	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002074	NA
JX438000|ARO:3001786	AGC60012.1	JX438000	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001786	NA
AF370885.1|ARO:3000775	AAL14440.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000775	NA
HM113561|ARO:3001659	ADI58619.1	HM113561	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001659	NA
Y16410|ARO:3002132	CAA76196.1	Y16410	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002132	NA
AP009048|ARO:3000518	BAE78082.1	AP009048	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux	NA	ARO:3000518	NA
EF672680|ARO:3000841	ABS29619.1	EF672680	CGB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000841	NA
AF015628|ARO:3002842	AAC61670.1	AF015628	streptogramin vgb lyase	streptogramin antibiotic	antibiotic inactivation	NA	ARO:3002842	NA
KJ775801|ARO:3002329	AIH07017.1	KJ775801	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002329	NA
